name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
AEROCUBE 12B,46.44586262478962,33.33861538340727,484.8568364836617,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,44.65827044493679,37.90678303861352,484.8540518381277,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,42.67978242669799,42.1729855588059,484.81386524790145,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,40.53419506786273,46.15018901101158,484.74479894049006,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,38.24331607729204,49.85755737911269,484.6561547318503,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,35.82675054524024,53.317736245317505,484.5578143822189,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,33.30189876650838,56.55484752135851,484.4600279759833,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,30.684093942455945,59.59311358060448,484.3731945038934,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,27.986792713980414,62.4560143806071,484.3076376575161,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,25.221810776281682,65.16580131469622,484.2733823298873,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,22.399552521990017,67.74328587401622,484.2799350379396,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,19.529230344868253,70.20780061501608,484.33607289418,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,16.619065132799033,72.57726996915025,484.44964519249635,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,13.676465868988545,74.86834636409087,484.6273915587193,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,10.708189031415625,77.0965824042111,484.87478034514436,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,7.720479987630016,79.27662081827715,485.19587058880876,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,4.719199320159437,81.42239144225927,485.59320041143576,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,1.709935298844069,83.54731097237057,486.06770456761444,2019, 6, 4, 21, 40, 1.7881393432617188e-05,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-1.3018820742830501,85.66447452934129,486.61866091374696,2019, 6, 4, 21, 41, 1.430511474609375e-05,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-4.310892447663163,87.78686008134666,487.243671864218,2019, 6, 4, 21, 42, 1.0728836059570312e-05,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-7.311698315292511,89.9275168864184,487.93867497733964,2019, 6, 4, 21, 43, 7.152557373046875e-06,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-10.298767078769703,92.09976284403788,488.69798715659766,2019, 6, 4, 21, 44, 3.5762786865234375e-06,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-13.266326656501711,94.31737955724644,489.51437984417464,2019, 6, 4, 21, 45, 0.0,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-16.20825341421043,96.59480883397958,490.3791840459466,2019, 6, 4, 21, 45, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-19.117949164151966,98.94734759011372,491.2824231412262,2019, 6, 4, 21, 46, 59.99999284744263,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-21.98820404986714,101.3913363167441,492.21297089371603,2019, 6, 4, 21, 47, 59.99998927116394,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-24.811042399580394,103.94433147873785,493.15873161232366,2019, 6, 4, 21, 48, 59.999985694885254,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-27.57754928511081,106.62524527151457,494.1068390216983,2019, 6, 4, 21, 49, 59.99998211860657,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-30.277678649397693,109.45442803557688,495.0438707204969,2019, 6, 4, 21, 51, 1.8775463104248047e-05,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-32.90003378423087,112.45364099048973,495.9560705175743,2019, 6, 4, 21, 52, 1.519918441772461e-05,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-35.43165301880919,115.64588848046701,496.8295839803148,2019, 6, 4, 21, 53, 1.1622905731201172e-05,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-37.857777020174275,119.05498931500593,497.65069045975935,2019, 6, 4, 21, 54, 8.046627044677734e-06,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-40.161648011190586,122.7048080769525,498.4060369816906,2019, 6, 4, 21, 55, 4.470348358154297e-06,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-42.32436751917232,126.61800859435272,499.08286622396275,2019, 6, 4, 21, 56, 8.940696716308594e-07,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-44.3248705921834,130.81420518619157,499.66923540612015,2019, 6, 4, 21, 56, 59.999997317790985,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-46.14009259016417,135.30742958026931,500.1542225124797,2019, 6, 4, 21, 57, 59.9999937415123,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-47.74541966105394,140.10295103479774,500.52811654320976,2019, 6, 4, 21, 58, 59.99999016523361,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-49.115512094423245,145.19370753469542,500.7825887986829,2019, 6, 4, 21, 59, 59.999986588954926,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-50.22555457640784,150.55692549401522,500.91084254051754,2019, 6, 4, 22, 0, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-51.052904908541045,156.15182662343818,500.9077387327556,2019, 6, 4, 22, 1, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-51.578985417128756,161.91948708378771,500.76989580387243,2019, 6, 4, 22, 3, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-51.791120331975876,167.7856453869702,500.4957626314515,2019, 6, 4, 22, 4, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-51.683944249256044,173.66660391475935,500.0856619964903,2019, 6, 4, 22, 5, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-51.26003195232742,179.47720323253125,499.54180561052914,2019, 6, 4, 22, 6, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-50.52958843765961,-174.86084362253004,498.86827922484883,2019, 6, 4, 22, 7, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-49.50928013231078,-169.41219169597338,498.0709982649538,2019, 6, 4, 22, 7, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-48.220503739513994,-164.22395413098042,497.15763442680856,2019, 6, 4, 22, 8, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-46.687475603703014,-159.32489552799825,496.1375141318395,2019, 6, 4, 22, 9, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-44.935475685937355,-154.72710607535427,495.0214901528185,2019, 6, 4, 22, 10, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-42.98945160496373,-150.42912502656554,493.82178813599575,2019, 6, 4, 22, 11, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-40.87305110139145,-146.4195270662788,492.55183015384995,2019, 6, 4, 22, 12, 59.999980330467224,0,1,0,0,0,0,0,0,0,0,,
AEROCUBE 12B,-38.608050181540335,-142.6802762435773,491.226036917283,2019, 6, 4, 22, 14, 1.6987323760986328e-05,0,1,1,0,0,0,0,0,0,0,,
AEROCUBE 12B,-36.21410472052388,-139.18950327468175,489.8596169679357,2019, 6, 4, 22, 15, 1.341104507446289e-05,0,1,1,0,0,0,0,0,0,0,,
AEROCUBE 12B,-33.708709487147175,-135.9235690525436,488.4683326809306,2019, 6, 4, 22, 16, 9.834766387939453e-06,0,1,1,0,0,0,0,0,0,0,,
AEROCUBE 12B,-31.107312797202685,-132.85851323275133,487.068264503744,2019, 6, 4, 22, 17, 6.258487701416016e-06,1,1,1,0,0,0,0,0,0,0,,
AEROCUBE 12B,-28.4235012109888,-129.9709707796469,485.6755640325037,2019, 6, 4, 22, 18, 2.682209014892578e-06,1,1,1,0,0,0,0,0,0,0,,
AEROCUBE 12B,-25.669219661873303,-127.23869905671494,484.30620531077653,2019, 6, 4, 22, 18, 59.99999910593033,1,1,1,0,0,1,0,0,0,0,,
AEROCUBE 12B,-22.854998018987473,-124.64082892716222,482.97573775203784,2019, 6, 4, 22, 19, 59.99999552965164,1,1,1,0,0,1,0,0,0,0,,
AEROCUBE 12B,-19.990168308959593,-122.15793074809145,481.6990450456017,2019, 6, 4, 22, 20, 59.999991953372955,1,1,1,0,0,1,0,0,0,0,,
AEROCUBE 12B,-17.083064772318494,-119.77196221581504,480.4901144069933,2019, 6, 4, 22, 21, 59.99998837709427,1,1,1,0,0,1,0,0,0,0,,
AEROCUBE 12B,-14.141203971597115,-117.46614468636501,479.3618204428358,2019, 6, 4, 22, 22, 59.99998480081558,1,0,1,0,0,1,0,0,0,0,,
AEROCUBE 12B,-11.17144517533854,-115.22479894779461,478.3257277120522,2019, 6, 4, 22, 23, 59.999981224536896,1,0,1,0,0,1,0,0,0,0,,
AEROCUBE 12B,-8.180130907009046,-113.03315860412877,477.39191518852203,2019, 6, 4, 22, 25, 1.7881393432617188e-05,1,0,1,0,0,1,0,0,0,0,,
AEROCUBE 12B,-5.173222476165913,-110.87718152780887,476.56882965265544,2019, 6, 4, 22, 26, 1.430511474609375e-05,1,0,0,0,0,1,0,0,0,0,,
AEROCUBE 12B,-2.1564034972952326,-108.74334380059993,475.8631617206965,2019, 6, 4, 22, 27, 1.0728836059570312e-05,1,0,0,0,0,1,0,0,0,0,,
AEROCUBE 12B,0.864805208882314,-106.61844838797836,475.2797594411089,2019, 6, 4, 22, 28, 7.152557373046875e-06,0,0,0,0,0,1,0,0,0,0,,
AEROCUBE 12B,3.884946126032516,-104.4894271972347,474.82157162649935,2019, 6, 4, 22, 29, 3.5762786865234375e-06,0,0,0,0,0,1,0,0,0,0,,
AEROCUBE 12B,6.898525699380164,-102.3431449282618,474.48962590622074,2019, 6, 4, 22, 30, 0.0,0,0,0,0,0,0,0,0,0,0,,
