name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
AGILE,2.428304350891435,159.88205778056948,465.73853155234593,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
AGILE,2.3885162175886028,163.47100931816635,466.28632047436525,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
AGILE,2.3379973509447884,167.0590924789992,466.8409266213736,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
AGILE,2.2769810601764426,170.64624907036162,467.3998887812755,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
AGILE,2.205747760561334,174.23242867492795,467.9607306104398,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
AGILE,2.124623571700003,177.8175904993407,468.5209713377002,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
AGILE,2.0339786478237967,-178.59829418434475,469.0781367896417,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
AGILE,1.934225628380268,-175.0152509136993,469.629768460655,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
AGILE,1.825817292446074,-171.43328719747322,470.1734361908971,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
AGILE,1.7092446461548243,-167.85240186935246,470.70674693606554,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
AGILE,1.585034559131418,-164.27258258631952,471.2273552095239,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
AGILE,1.4537473154069402,-160.69380589456568,471.7329729146559,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
AGILE,1.3159740345164446,-157.11603745792647,472.2213789098947,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
AGILE,1.172333976157257,-153.5392324448738,472.6904282752883,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
AGILE,1.0234717417067505,-149.96333606743565,473.1380612506994,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
AGILE,0.8700543857184871,-146.3882842630188,473.5623118170217,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
AGILE,0.7127684502569059,-142.81400450789477,473.96131589286375,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
AGILE,0.5523168261209807,-139.2404143529032,474.33331936031766,2019, 6, 4, 21, 40, 1.7881393432617188e-05,0,0,0,0,0,0,0,0,0,0,,
AGILE,0.38941610270940014,-135.66743204312922,474.6766844345673,2019, 6, 4, 21, 41, 1.430511474609375e-05,0,0,0,0,0,0,0,0,0,0,,
AGILE,0.2247927984559838,-132.0949630938952,474.98989805083414,2019, 6, 4, 21, 42, 1.0728836059570312e-05,0,0,0,0,0,0,0,0,0,0,,
AGILE,0.05918063722578087,-128.5229117391246,475.27157725154547,2019, 6, 4, 21, 43, 7.152557373046875e-06,0,0,0,0,0,0,0,0,0,0,,
AGILE,-0.1066827286322351,-124.95117876672043,475.5204753427042,2019, 6, 4, 21, 44, 3.5762786865234375e-06,0,0,0,0,0,0,0,0,0,0,,
AGILE,-0.2720588956706077,-121.37966346194986,475.7354872631733,2019, 6, 4, 21, 45, 0.0,0,0,0,0,0,0,0,0,0,0,,
AGILE,-0.4362118830986028,-117.80826472110921,475.91565440509146,2019, 6, 4, 21, 45, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
AGILE,-0.5984112923832121,-114.23688232412748,476.0601688656617,2019, 6, 4, 21, 46, 59.99999284744263,0,0,0,0,0,0,0,0,0,0,,
AGILE,-0.7579354422500837,-110.66541817844488,476.16837711188896,2019, 6, 4, 21, 47, 59.99998927116394,0,0,0,0,0,0,0,0,0,0,,
AGILE,-0.9140744686561156,-107.09377751502102,476.23978304078764,2019, 6, 4, 21, 48, 59.999985694885254,0,0,0,0,0,0,0,0,0,0,,
AGILE,-1.0661333792430794,-103.52187001846191,476.2740504188931,2019, 6, 4, 21, 49, 59.99998211860657,0,0,0,0,0,0,0,0,0,0,,
AGILE,-1.2134351487565564,-99.94960847781195,476.2710046716918,2019, 6, 4, 21, 51, 1.8775463104248047e-05,0,0,0,0,0,0,0,0,0,0,,
AGILE,-1.3553232586282191,-96.37691931632908,476.23063407207906,2019, 6, 4, 21, 52, 1.519918441772461e-05,0,0,0,0,0,0,0,0,0,0,,
AGILE,-1.4911651441603309,-92.80372905352684,476.15309022272305,2019, 6, 4, 21, 53, 1.1622905731201172e-05,0,0,0,0,0,0,0,0,0,0,,
AGILE,-1.620354560860254,-89.22997459529648,476.0386878633544,2019, 6, 4, 21, 54, 8.046627044677734e-06,0,0,0,0,0,0,0,0,0,0,,
AGILE,-1.742314350094019,-85.65560141173033,475.887904027057,2019, 6, 4, 21, 55, 4.470348358154297e-06,0,0,0,0,0,0,0,0,0,0,,
AGILE,-1.8564989930587197,-82.08056396639765,475.70137650201036,2019, 6, 4, 21, 56, 8.940696716308594e-07,0,0,0,0,0,0,0,0,0,0,,
AGILE,-1.9623970421488774,-78.5048259961387,475.47990160557646,2019, 6, 4, 21, 56, 59.999997317790985,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.059533418365641,-74.92836063834923,475.22443126999474,2019, 6, 4, 21, 57, 59.9999937415123,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.147471563525008,-71.35115023709983,474.9360694413719,2019, 6, 4, 21, 58, 59.99999016523361,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.2258154362308518,-67.773186838798,474.6160677967388,2019, 6, 4, 21, 59, 59.999986588954926,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.294211340905148,-64.19447086068425,474.2658207869757,2019, 6, 4, 22, 0, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.352349579615337,-60.61501130141118,473.88686001658124,2019, 6, 4, 22, 1, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.39996594536372,-57.03482258102673,473.4808476937547,2019, 6, 4, 22, 3, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.4368428704893264,-53.45393343624583,473.049570838024,2019, 6, 4, 22, 4, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.462810683496462,-49.87237170522224,472.5949321357563,2019, 6, 4, 22, 5, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.477748327873449,-46.2901730320251,472.1189429190269,2019, 6, 4, 22, 6, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.481584033938206,-42.70737749890998,471.6237142535165,2019, 6, 4, 22, 7, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.4742957327528434,-39.12402860855793,471.1114477670391,2019, 6, 4, 22, 7, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.4559112437895902,-35.54017223545702,470.5844259914989,2019, 6, 4, 22, 8, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.4265082338337947,-31.95585556661848,470.0450022581484,2019, 6, 4, 22, 9, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.386213945943133,-28.37112605200216,469.4955901894836,2019, 6, 4, 22, 10, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.335204698641685,-24.78603038464851,468.9386528343741,2019, 6, 4, 22, 11, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
AGILE,-2.273705156893454,-21.200613529942046,468.37669149641965,2019, 6, 4, 22, 12, 59.999980330467224,0,1,0,0,0,0,0,0,0,0,,
AGILE,-2.2019873263052663,-17.614915417851396,467.8122339292926,2019, 6, 4, 22, 14, 1.6987323760986328e-05,0,1,1,0,0,0,0,0,0,0,,
AGILE,-2.1203695769429522,-14.02897957375909,467.24782422812785,2019, 6, 4, 22, 15, 1.341104507446289e-05,0,1,1,0,0,0,0,0,0,0,,
AGILE,-2.0292149633984335,-10.442838645255298,466.68600879026707,2019, 6, 4, 22, 16, 9.834766387939453e-06,0,1,1,0,0,0,0,0,0,0,,
AGILE,-1.9289298105373631,-6.856522404692474,466.1293259825345,2019, 6, 4, 22, 17, 6.258487701416016e-06,1,1,1,0,0,0,0,0,0,0,,
AGILE,-1.8199618677051037,-3.270055534872801,465.5802938961406,2019, 6, 4, 22, 18, 2.682209014892578e-06,1,1,1,0,0,0,0,0,0,0,,
