name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
APEX,-70.01398414715676,38.80774083835248,492.2147967904114,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
APEX,-69.75138694916797,49.82784624591895,472.89989156662904,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
APEX,-68.79259311489375,60.278328183865696,454.5901968122041,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
APEX,-67.21524838666467,69.63072211304174,437.37847037418965,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
APEX,-65.1281306125538,77.67109317109626,421.3555170785524,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
APEX,-62.640453688855274,84.43305829325836,406.6095041932291,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
APEX,-59.84533483572268,90.07528083586453,393.2252100185288,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
APEX,-56.81577127108598,94.78999351800636,381.2832646722225,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
APEX,-53.60681041659548,98.75704507568246,370.8592606899804,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
APEX,-50.25948764144228,102.12800734317828,362.02292622550596,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
APEX,-46.804526853912265,105.02474610497909,354.8372397116419,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
APEX,-43.26525471812507,107.5433144947417,349.3575603734785,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
APEX,-39.65973181774786,109.75900508522238,345.6307859648344,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
APEX,-36.002262712255565,111.73098829104961,343.6945600494598,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
APEX,-32.30445331532231,113.50610627437845,343.5765518130707,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
APEX,-28.57594978261091,115.12182708301964,345.2938310710097,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
APEX,-24.82495623999948,116.60849729520403,348.85235974424006,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
APEX,-21.058596797588798,117.99104982427285,354.24662282693896,2019, 6, 4, 21, 40, 1.7881393432617188e-05,0,0,0,0,0,0,0,0,0,0,,
APEX,-17.283183899639617,119.29029671001406,361.4593899729502,2019, 6, 4, 21, 41, 1.430511474609375e-05,0,0,0,0,0,0,0,0,0,0,,
APEX,-13.50438745940427,120.52392779095419,370.4616759780708,2019, 6, 4, 21, 42, 1.0728836059570312e-05,0,0,0,0,0,0,0,0,0,0,,
APEX,-9.72737786192318,121.70727715320942,381.21283364279327,2019, 6, 4, 21, 43, 7.152557373046875e-06,0,0,0,0,0,0,0,0,0,0,,
APEX,-5.956920921438211,122.85393491296242,393.660830687564,2019, 6, 4, 21, 44, 3.5762786865234375e-06,0,0,0,0,0,0,0,0,0,0,,
APEX,-2.1974514604952993,123.97624108223062,407.74268643918947,2019, 6, 4, 21, 45, 0.0,0,0,0,0,0,0,0,0,0,0,,
APEX,1.5468684661801506,125.08569983823551,423.3850610130276,2019, 6, 4, 21, 45, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
APEX,5.272100164193674,126.19334041895641,440.50498202432897,2019, 6, 4, 21, 46, 59.99999284744263,0,0,0,0,0,0,0,0,0,0,,
APEX,8.974482481731123,127.31004701323357,459.01068995153275,2019, 6, 4, 21, 47, 59.99998927116394,0,0,0,0,0,0,0,0,0,0,,
APEX,12.650385161776846,128.44687684565653,478.8025803535049,2019, 6, 4, 21, 48, 59.999985694885254,0,0,0,0,0,0,0,0,0,0,,
APEX,16.296257337366573,129.61538432991912,499.77421929794104,2019, 6, 4, 21, 49, 59.99998211860657,0,0,0,0,0,0,0,0,0,0,,
APEX,19.908569570531892,130.82797015311013,521.8134227288231,2019, 6, 4, 21, 51, 1.8775463104248047e-05,0,0,0,0,0,0,0,0,0,0,,
APEX,23.483730564811108,132.09826997065824,544.8032856340084,2019, 6, 4, 21, 52, 1.519918441772461e-05,0,0,0,0,0,0,0,0,0,0,,
APEX,27.018009622318615,133.4416176643538,568.6233617666984,2019, 6, 4, 21, 53, 1.1622905731201172e-05,0,0,0,0,0,0,0,0,0,0,,
APEX,30.507409780921318,134.87559432151147,593.1506771831067,2019, 6, 4, 21, 54, 8.046627044677734e-06,0,0,0,0,0,0,0,0,0,0,,
APEX,33.947519266033765,136.4207087993538,618.2607795435539,2019, 6, 4, 21, 55, 4.470348358154297e-06,0,0,0,0,0,0,0,0,0,0,,
APEX,37.3333147303805,138.10124684726298,643.8287205247116,2019, 6, 4, 21, 56, 8.940696716308594e-07,0,0,0,0,0,0,0,0,0,0,,
APEX,40.65890220302516,139.94634022764026,669.729973609502,2019, 6, 4, 21, 56, 59.999997317790985,0,0,0,0,0,0,0,0,0,0,,
APEX,43.917172826633404,141.99131386092068,695.8412782259885,2019, 6, 4, 21, 57, 59.9999937415123,0,0,0,0,0,0,0,0,0,0,,
APEX,47.09934176092033,144.27936907990775,722.0414042081554,2019, 6, 4, 21, 58, 59.99999016523361,0,0,0,0,0,0,0,0,0,0,,
APEX,50.19432748805971,146.86363831896884,748.2118333077655,2019, 6, 4, 21, 59, 59.999986588954926,0,0,0,0,0,0,0,0,0,0,,
APEX,53.187916176090695,149.80957645684626,774.2373569196312,2019, 6, 4, 22, 0, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
APEX,56.06164601634241,153.19745931535556,800.0065912504008,2019, 6, 4, 22, 1, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
APEX,58.7913537242472,157.12434361547895,825.4124297373437,2019, 6, 4, 22, 3, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
APEX,61.34536394051556,161.70395619224888,850.3523352508239,2019, 6, 4, 22, 4, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
APEX,63.68250138464552,167.06149074928152,874.7287322901499,2019, 6, 4, 22, 5, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
APEX,65.75042291881098,173.3179866993687,898.4491639760812,2019, 6, 4, 22, 6, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
APEX,67.48554294849315,-179.44251923667997,921.4264764488964,2019, 6, 4, 22, 7, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
APEX,68.81669666322443,-171.22644118983976,943.5789341741453,2019, 6, 4, 22, 7, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
APEX,69.67488958385312,-162.19216600552897,964.8302895767592,2019, 6, 4, 22, 8, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
APEX,70.0090745984929,-152.67982813713687,985.109813048616,2019, 6, 4, 22, 9, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
