name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
BEIDOU IGSO-7,31.22579399850289,126.85800223867466,35735.13961752078,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,31.03913359708423,126.80405781047747,35734.716223918505,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,30.85217156478865,126.74934734728664,35734.2939898081,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,30.6649112367433,126.69387841418569,35733.87292680678,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,30.4773559154746,126.63765802735415,35733.453046503164,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,30.289508871292384,126.5806936626711,35733.0343604568,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,30.101373216420864,126.5229925444133,35732.61687991807,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,29.912952410190194,126.46456196866404,35732.200616946706,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,29.724249502480564,126.4054090712218,35731.78558273167,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,29.535267638523994,126.34554098194394,35731.371788711134,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,29.346009933215445,126.28496478640137,35730.95924629184,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,29.15647947148151,126.22368752596836,35730.54796684829,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,28.966679308644274,126.16171619794791,35730.13796172263,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,28.776612470783355,126.09905775568794,35729.72924222385,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,28.586281955095036,126.03571910872162,35729.32181962756,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,28.39569073024798,125.9717071229258,35728.915705175255,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,28.204841736736164,125.90702862065802,35728.510910074045,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,28.013737758999298,125.84169033691654,35728.10744522591,2019, 6, 4, 21, 40, 1.7881393432617188e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,27.82238193852137,125.7756990951954,35727.7053223086,2019, 6, 4, 21, 41, 1.430511474609375e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,27.630777005301287,125.7090617129025,35727.30455215193,2019, 6, 4, 21, 42, 1.0728836059570312e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,27.438925790605932,125.64178450396561,35726.90514582025,2019, 6, 4, 21, 43, 7.152557373046875e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,27.246831099248467,125.57387424403768,35726.50711434099,2019, 6, 4, 21, 44, 3.5762786865234375e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,27.054495709923305,125.50533749832456,35726.11046870429,2019, 6, 4, 21, 45, 0.0,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,26.861922375537933,125.43618078989523,35725.71521986254,2019, 6, 4, 21, 45, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
BEIDOU IGSO-7,26.669113823543267,125.36641059991912,35725.3213787297,2019, 6, 4, 21, 46, 59.99999284744263,0,0,0,0,0,0,0,0,0,0,,
