name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
BEIDOU-2 G8,-0.021012469752783158,80.0139740578267,35793.82608610163,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,-0.012892189942419589,80.0137509812818,35793.78362807095,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,-0.004771669531986756,80.01352839518903,35793.74101441197,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.0033489363944197784,80.01330647953905,35793.69824593983,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.011469472749584944,80.01308491002258,35793.65532347262,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.01958978444618248,80.01286386661505,35793.61224783124,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.02770972184425569,80.01264336103301,35793.569019810486,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.03582911897509073,80.01242340542434,35793.525640295076,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.04394782621336217,80.01220401148493,35793.48211008561,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.05206568850023168,80.01198519103973,35793.438430014496,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.060182550791380365,80.01176695590556,35793.39460091691,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.06829825805982863,80.01154931787904,35793.35062363095,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.07641265529891655,80.01133228874575,35793.30649899735,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.08452558752526004,80.0111158802719,35793.26222785976,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.09263689978157695,80.01090010420491,35793.217811064525,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.10074643713970492,80.01068497228225,35793.17324946069,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.10885404470353341,80.01047049621145,35793.12854390012,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.11695957304627036,80.010256687546,35793.083695207184,2019, 6, 4, 21, 40, 1.7881393432617188e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.1250628564741553,80.01004355824267,35793.0387042993,2019, 6, 4, 21, 41, 1.430511474609375e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.13316374564053193,80.00983128791168,35792.99357200624,2019, 6, 4, 21, 42, 1.0728836059570312e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.14126208580656205,80.00961955198603,35792.948299190684,2019, 6, 4, 21, 43, 7.152557373046875e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.14935772228004673,80.0094085301687,35792.90288671773,2019, 6, 4, 21, 44, 3.5762786865234375e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.15745050041837574,80.00919823404617,35792.85733545525,2019, 6, 4, 21, 45, 0.0,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.1655402656313511,80.00898867517499,35792.81164627373,2019, 6, 4, 21, 45, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.17362686338424294,80.00877986509066,35792.76582004615,2019, 6, 4, 21, 46, 59.99999284744263,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.1817101392006324,80.00857181530414,35792.71985764812,2019, 6, 4, 21, 47, 59.99998927116394,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.18978993866530153,80.00836453729157,35792.67375995781,2019, 6, 4, 21, 48, 59.999985694885254,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.1978661074272507,80.00815804251252,35792.62752785601,2019, 6, 4, 21, 49, 59.99998211860657,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.20593849661415076,80.00795234224978,35792.58116219478,2019, 6, 4, 21, 51, 1.8775463104248047e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.21400694118605745,80.00774744817876,35792.53466392212,2019, 6, 4, 21, 52, 1.519918441772461e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.2220712924161685,80.00754337152974,35792.48803389516,2019, 6, 4, 21, 53, 1.1622905731201172e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.2301313962392458,80.00734012363496,35792.4412730047,2019, 6, 4, 21, 54, 8.046627044677734e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.23818709866881102,80.00713771580578,35792.394382143895,2019, 6, 4, 21, 55, 4.470348358154297e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.2462382458000022,80.0069361593091,35792.34736220844,2019, 6, 4, 21, 56, 8.940696716308594e-07,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.25428468381256825,80.00673546538721,35792.30021409635,2019, 6, 4, 21, 56, 59.999997317790985,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.26232625897365713,80.00653564524765,35792.25293870817,2019, 6, 4, 21, 57, 59.9999937415123,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.270362817640847,80.00633687815728,35792.20553694667,2019, 6, 4, 21, 58, 59.99999016523361,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.27839420626497424,80.00613883905923,35792.15800971716,2019, 6, 4, 21, 59, 59.999986588954926,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.2864202713930781,80.00594170715421,35792.11035792729,2019, 6, 4, 22, 0, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.2944408596712598,80.00574549350077,35792.062582486964,2019, 6, 4, 22, 1, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.30245582322016323,80.0055502089985,35792.014684276306,2019, 6, 4, 22, 3, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.31046499814381734,80.00535586489433,35791.966664274136,2019, 6, 4, 22, 4, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.3184682367793767,80.00516247201205,35791.918523365224,2019, 6, 4, 22, 5, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.3264653861983087,80.00497004125457,35791.87026246876,2019, 6, 4, 22, 6, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.3344562935856743,80.00477858349369,35791.82188250611,2019, 6, 4, 22, 7, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.3424408062430413,80.0045881095595,35791.773384400956,2019, 6, 4, 22, 7, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.35041877159130835,80.0043986302325,35791.724769079075,2019, 6, 4, 22, 8, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.35839003717363843,80.0042101562596,35791.6760374686,2019, 6, 4, 22, 9, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.36635445065801864,80.00402269832685,35791.627190499734,2019, 6, 4, 22, 10, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.3743118598403225,80.00383626707715,35791.57822910478,2019, 6, 4, 22, 11, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
BEIDOU-2 G8,0.3822621126485837,80.00365087314341,35791.529154218464,2019, 6, 4, 22, 12, 59.999980330467224,0,1,0,0,0,0,0,0,0,0,,
