name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
DELPHINI,27.385650363297962,2.251088014668962,397.048059746698,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,24.551496838374742,4.9868789496739,396.87993904846235,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,21.66003708546085,7.590122718275208,396.7823473546563,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,18.720782230982042,10.080909568084307,396.76489227726137,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,15.742227094600786,12.477845928942356,396.8360044623483,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,12.732041171213384,14.79821696927151,397.00273995982303,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,9.697235574517736,17.058183093622223,397.270607350725,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,6.644320965740213,19.272985677618593,397.6434221651168,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,3.579429368789375,21.457173306013004,398.12319464121873,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,0.5084443193596497,23.624813238441583,398.7100497859322,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,-2.5628873832742425,25.78970896891353,399.4021840726126,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,-5.628846407719934,27.965614707081834,400.1958588922508,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,-8.683632449515908,30.166449229341183,401.085431158851,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
DELPHINI,-11.721252954432655,32.406510145588044,402.0634205212495,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
