name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
GALILEO 24 (2C0),-6.3563226853294585,-164.77274660034567,23216.44015130377,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-6.00086823427199,-164.78584523149584,23216.42743159351,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-5.645310262866665,-164.7992529591008,23216.416592904563,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-5.289655557296188,-164.8129510612434,23216.407640127065,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-4.933910160588447,-164.8269209131634,23216.40057776708,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-4.578080328055141,-164.84114394696093,23216.39540997581,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-4.222172290718697,-164.85560165597877,23216.392140540607,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-3.8661922571087124,-164.87027559032424,23216.390772884035,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-3.5101464150498014,-164.88514735239104,23216.391310062954,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-3.1540409334398674,-164.90019859240996,23216.393754767625,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-2.797881964014104,-164.91541083591184,23216.39810932108,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-2.4416756431063393,-164.93076615168874,23216.404375678398,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-2.0854280933976046,-164.94624613878946,23216.41255542606,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-1.7291451867444032,-164.96183260499473,23216.422649788936,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-1.3728335015638782,-164.97750735243838,23216.434659601437,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-1.0164988911244286,-164.99325223594394,23216.448585347793,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-0.6601474408793715,-165.00904911690117,23216.464427136005,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),-0.3037852312956606,-165.02487986929535,23216.482184703716,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),0.052581660422601664,-165.04072637534517,23216.50185741816,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),0.40894715861413794,-165.05657052112053,23216.52344427605,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),0.7653051874399477,-165.07239419218206,23216.546943903715,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),1.1216496691655935,-165.08817926920668,23216.572354557164,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),1.4779745224376581,-165.10390762360802,23216.59967412222,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),1.8342736605618797,-165.11956111318258,23216.62890011494,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),2.1905412286627994,-165.13512158810713,23216.660029703355,2019, 6, 4, 21, 40, 1.7881393432617188e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),2.546770646389474,-165.15057084489743,23216.693059623198,2019, 6, 4, 21, 41, 1.430511474609375e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),2.9029560395660314,-165.1658905165262,23216.727986303686,2019, 6, 4, 21, 42, 1.0728836059570312e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),3.2590912828402514,-165.18106269861894,23216.76480578578,2019, 6, 4, 21, 43, 7.152557373046875e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),3.6151702368482415,-165.19606894691955,23216.803513743256,2019, 6, 4, 21, 44, 3.5762786865234375e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),3.9711867464610537,-165.21089094526,23216.844105483273,2019, 6, 4, 21, 45, 0.0,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),4.327134639023261,-165.22551033304285,23216.88657594743,2019, 6, 4, 21, 45, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),4.683007722586223,-165.23990870078813,23216.930919712388,2019, 6, 4, 21, 46, 59.99999284744263,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),5.038799784126328,-165.25406758568064,23216.97713099106,2019, 6, 4, 21, 47, 59.99998927116394,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),5.39450458775776,-165.26796846710496,23217.02520363369,2019, 6, 4, 21, 48, 59.999985694885254,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),5.750115872929005,-165.2815927621395,23217.075131128848,2019, 6, 4, 21, 49, 59.99998211860657,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),6.105627590964703,-165.2949218299035,23217.126906640016,2019, 6, 4, 21, 51, 1.8775463104248047e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),6.461032949746967,-165.30793693145742,23217.18052286694,2019, 6, 4, 21, 52, 1.519918441772461e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),6.816325842214739,-165.3206192789114,23217.23597225504,2019, 6, 4, 21, 53, 1.1622905731201172e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),7.1714998908792165,-165.3329499948954,23217.293246859448,2019, 6, 4, 21, 54, 8.046627044677734e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),7.526548684371866,-165.34491011699293,23217.352338380515,2019, 6, 4, 21, 55, 4.470348358154297e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),7.881465775556075,-165.356480593147,23217.413238165474,2019, 6, 4, 21, 56, 8.940696716308594e-07,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),8.236244679616,-165.36764227699973,23217.475937209994,2019, 6, 4, 21, 56, 59.999997317790985,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),8.590878872081982,-165.378375923267,23217.54042616013,2019, 6, 4, 21, 57, 59.9999937415123,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),8.94536178707198,-165.38866201482168,23217.60669531397,2019, 6, 4, 21, 58, 59.99999016523361,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),9.299686815038466,-165.39848143054428,23217.67473462359,2019, 6, 4, 21, 59, 59.999986588954926,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),9.653847300965689,-165.40781443186265,23217.744533697052,2019, 6, 4, 22, 0, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),10.007836542306478,-165.4166413304002,23217.816081800433,2019, 6, 4, 22, 1, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),10.36164802413308,-165.42494232043254,23217.889367909676,2019, 6, 4, 22, 3, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),10.715274468193108,-165.43269745214434,23217.964380514975,2019, 6, 4, 22, 4, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),11.068709254322412,-165.43988666014835,23218.041107918016,2019, 6, 4, 22, 5, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),11.421945469204601,-165.44648973596222,23218.119538038827,2019, 6, 4, 22, 6, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),11.774976141534754,-165.45248632878247,23218.199658466812,2019, 6, 4, 22, 7, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),12.127794239844206,-165.45785594050807,23218.281456463086,2019, 6, 4, 22, 7, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),12.480392670292993,-165.4625779207274,23218.364918963194,2019, 6, 4, 22, 8, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),12.832764274432323,-165.46663146164192,23218.450032579625,2019, 6, 4, 22, 9, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),13.184901826933187,-165.4699955929855,23218.536783604544,2019, 6, 4, 22, 10, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),13.536798033281071,-165.47264917687664,23218.625158012484,2019, 6, 4, 22, 11, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),13.888445527436533,-165.4745709026542,23218.715141463268,2019, 6, 4, 22, 12, 59.999980330467224,0,1,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),14.239837104995631,-165.4757392821804,23218.80671936671,2019, 6, 4, 22, 14, 1.6987323760986328e-05,0,1,1,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),14.590964778443434,-165.47613247386093,23218.899876639003,2019, 6, 4, 22, 15, 1.341104507446289e-05,0,1,1,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),14.94182118846381,-165.475728954467,23218.994598074118,2019, 6, 4, 22, 16, 9.834766387939453e-06,0,1,1,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),15.292398658766759,-165.47450650154974,23219.09086810229,2019, 6, 4, 22, 17, 6.258487701416016e-06,1,1,1,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),15.642689429263864,-165.47244286150243,23219.1886708542,2019, 6, 4, 22, 18, 2.682209014892578e-06,1,1,1,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),15.992685653494732,-165.46951557604,23219.28799016393,2019, 6, 4, 22, 18, 59.99999910593033,1,1,1,0,0,1,0,0,0,0,,
GALILEO 24 (2C0),16.342379396005033,-165.46570197673995,23219.388809572545,2019, 6, 4, 22, 19, 59.99999552965164,1,1,1,0,0,1,0,0,0,0,,
GALILEO 24 (2C0),16.69176262968018,-165.46097917954654,23219.491112331172,2019, 6, 4, 22, 20, 59.999991953372955,1,1,1,0,0,1,0,0,0,0,,
GALILEO 24 (2C0),17.040827233036445,-165.4553240792335,23219.59488140458,2019, 6, 4, 22, 21, 59.99998837709427,1,1,1,0,0,1,0,0,0,0,,
GALILEO 24 (2C0),17.389564987458503,-165.44871334381793,23219.700099474565,2019, 6, 4, 22, 22, 59.99998480081558,1,0,1,0,0,1,0,0,0,0,,
GALILEO 24 (2C0),17.737967574393195,-165.4411234089501,23219.806748943487,2019, 6, 4, 22, 23, 59.999981224536896,1,0,1,0,0,1,0,0,0,0,,
GALILEO 24 (2C0),18.086026805764487,-165.4325304661425,23219.914812010724,2019, 6, 4, 22, 25, 1.7881393432617188e-05,1,0,1,0,0,1,0,0,0,0,,
GALILEO 24 (2C0),18.433733687726757,-165.4229104808001,23220.02427038572,2019, 6, 4, 22, 26, 1.430511474609375e-05,1,0,0,0,0,1,0,0,0,0,,
GALILEO 24 (2C0),18.781079818059123,-165.41223915193044,23220.135105726185,2019, 6, 4, 22, 27, 1.0728836059570312e-05,1,0,0,0,0,1,0,0,0,0,,
GALILEO 24 (2C0),19.12805644934488,-165.40049192873798,23220.247299353206,2019, 6, 4, 22, 28, 7.152557373046875e-06,0,0,0,0,0,1,0,0,0,0,,
GALILEO 24 (2C0),19.474654719404857,-165.38764399939203,23220.360832326845,2019, 6, 4, 22, 29, 3.5762786865234375e-06,0,0,0,0,0,1,0,0,0,0,,
GALILEO 24 (2C0),19.820865648168102,-165.37367028518793,23220.475685450176,2019, 6, 4, 22, 30, 0.0,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),20.166680134481144,-165.35854543467906,23220.591839273053,2019, 6, 4, 22, 30, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),20.5120889528588,-165.34224364967434,23220.709274096273,2019, 6, 4, 22, 31, 59.99999284744263,0,0,0,0,0,0,0,0,0,0,,
GALILEO 24 (2C0),20.857082750174033,-165.32473935170037,23220.82796997542,2019, 6, 4, 22, 32, 59.99998927116394,0,0,0,0,0,0,1,1,0,0,,
GALILEO 24 (2C0),21.201652042283097,-165.30600616746767,23220.94790672502,2019, 6, 4, 22, 33, 59.999985694885254,0,0,0,0,0,0,1,1,0,0,,
