name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
GLOBALSTAR M096,51.8264292660969,-12.998442627180756,1419.4242411334887,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,51.34467066060879,-8.237765938630528,1419.3356584785151,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,50.653904244755964,-3.603118607342278,1419.1990914336302,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,49.76505501897926,0.8706804127386356,1419.0169385820084,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,48.69111776486496,5.157834306067494,1418.7923197252187,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,47.44636546236456,9.241647214471325,1418.5290364570278,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,46.04562289802547,13.11378073675227,1418.2315236618342,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,44.50366640174053,16.772983971304594,1417.904792963376,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,42.83477297838464,20.22360313150671,1417.5543686826143,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,41.05241545021796,23.474104127079148,1417.1862170308048,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,39.16908376600705,26.535754926783337,1416.8066693502371,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,37.196205669032054,29.421536423419735,1416.422340294541,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,35.144139608577845,32.145298616961824,1416.0400419122118,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,33.022214737465816,34.721141464149476,1415.6666944140854,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,30.838807766932252,37.16297803434159,1415.3092361911447,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,28.601421264660473,39.48426578251225,1414.974530454473,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,26.31678219170344,41.69783522336335,1414.669274671422,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,23.990933117267932,43.81581117695331,1414.3999101689037,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,21.629320756548026,45.84959131406587,1414.172534583228,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,19.23687839141061,47.80986490695242,1413.9928180427444,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,16.818101327171068,49.70665790022572,1413.8659241899002,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,14.377115309557329,51.54939440937565,1413.7964370983686,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,11.917738300294783,53.346967822331784,1413.7882950741493,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,9.443536284100645,55.10781696591115,1413.844732246397,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,6.9578722547531955,56.84000561605687,1413.9682288618155,2019, 6, 4, 21, 40, 1.7881393432617188e-05,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,4.46395927749165,58.55129672800974,1414.1604703912549,2019, 6, 4, 21, 41, 1.430511474609375e-05,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,1.9648935052927834,60.24923805688069,1414.4223173754347,2019, 6, 4, 21, 42, 1.0728836059570312e-05,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,-0.5362986094023874,61.9412346461933,1414.7537847980843,2019, 6, 4, 21, 43, 7.152557373046875e-06,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,-3.036623014675934,63.63462821104669,1415.1540324097616,2019, 6, 4, 21, 44, 3.5762786865234375e-06,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,-5.533079811199254,65.33677331957699,1415.6213657498652,2019, 6, 4, 21, 45, 0.0,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,-8.022624855956414,67.05511441705761,1416.1532479307664,2019, 6, 4, 21, 45, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,-10.502130353789596,68.79726301382507,1416.7463220387701,2019, 6, 4, 21, 46, 59.99999284744263,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,-12.968343565910768,70.57107539894837,1417.3964438616235,2019, 6, 4, 21, 47, 59.99998927116394,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,-15.417842753788866,72.38473080656242,1418.098724511409,2019, 6, 4, 21, 48, 59.999985694885254,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,-17.846989468819533,74.24680952899769,1418.8475823797503,2019, 6, 4, 21, 49, 59.99998211860657,0,0,0,0,0,0,0,0,0,0,,
GLOBALSTAR M096,-20.25187790752192,76.16637112681957,1419.6368042814947,2019, 6, 4, 21, 51, 1.8775463104248047e-05,0,0,0,0,0,0,0,0,0,0,,
