name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
IBEX,-9.79114299289397,47.014313770656244,252591.34057955228,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.803720642345427,46.764835848496524,252613.27878805003,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.816296171357253,46.51535760144482,252635.20811328603,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.82886956445495,46.26587936428774,252657.12852630284,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.841440831445336,46.01640096994287,252679.04004223214,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.854009973718687,45.76692241861783,252700.9426615275,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.866576992653371,45.517443710522386,252722.83638462413,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.879141889626608,45.26796484586152,252744.7212119567,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.891704666024555,45.018485824844475,252766.5971439767,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.90426532321962,44.769006647679504,252788.46418111282,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.916823862596285,44.51952748267006,252810.32232381686,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.929380285526744,44.27004799382731,252832.17157252086,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.941934593387154,44.02056834945779,252854.0119276644,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.954486795974017,43.77108838247814,252875.84340433255,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.967036877823233,43.52160842767192,252897.66597367887,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.979584848727548,43.27212831795916,252919.47965078824,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
IBEX,-9.99213071006144,43.022648053543705,252941.2844361035,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
IBEX,-10.004674463191913,42.7731676346339,252963.08033005643,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
IBEX,-10.01721610949646,42.52368706143402,252984.8673330984,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
IBEX,-10.029755650340537,42.274206334151984,253006.64544566086,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
