name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
ISO,4.141308915687107,-130.8013857437079,61326.286325938185,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
ISO,4.139734978008409,-130.99928209058368,61390.15896407345,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
ISO,4.138160514721154,-131.1972777814589,61453.77625894725,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
ISO,4.136585528734462,-131.39537187657945,61517.138550768774,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
ISO,4.135010019714809,-131.5935638394857,61580.24630506295,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
ISO,4.1334339883097675,-131.791853005954,61643.09994188437,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
ISO,4.1318574350934,-131.99023871667288,61705.69987857916,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
ISO,4.130280360567236,-132.18872031719982,61768.04652980371,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
ISO,4.128702765161304,-132.38729715789853,61830.14030754251,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
ISO,4.127124649234989,-132.58596859389215,61891.98162112638,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
ISO,4.125546013078054,-132.7847338169167,61953.57087724963,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
ISO,4.123966856911541,-132.98359252765707,62014.90847998842,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
ISO,4.1223871808886,-133.18254392711108,62075.994830817224,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
