name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
LANDSAT 8,-31.05353459189548,18.973224941327462,714.3653834702706,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,-27.454219929665264,18.04081505414056,712.9303785357469,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,-23.848996193719028,17.151134767483477,711.5628288518566,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,-20.238687000877434,16.29571281738479,710.279199698196,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,-16.624045481935774,15.467458134825371,709.0944691901823,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,-13.005786244665074,14.660303223759406,708.0219033416308,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,-9.38459831519068,13.868930312962911,707.0728544239761,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,-5.761155661139684,13.088556651213269,706.2565920482201,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,-2.1361243910967374,12.314759165960032,705.5801692892405,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,1.4898322283962266,11.543324390687335,705.0483264652919,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,5.116050018423855,10.770112817176125,704.6634344603323,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,8.741860594519668,9.99092732468147,704.4254786938532,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,12.36658777247953,9.201379431851054,704.3320840252226,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,15.989545306705207,8.396740242205114,704.378580128195,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,19.61002048166714,7.571771107880132,704.5581056071383,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,23.227278879559606,6.7205112355147305,704.861749436342,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,26.840540268613264,5.836014714952773,705.2787262348211,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,30.448960026248315,4.910002773706727,705.7965821482408,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,34.0515985777493,3.9323961236131666,706.4014273167951,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,37.64737686495318,2.890668929908053,707.078190466265,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,41.23501098812263,1.768934439880738,707.8108908563379,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,44.8129150265653,0.5466187148457227,708.5829226164069,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,48.379053826217,-0.803513239274069,709.377346407758,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
LANDSAT 8,51.930714528611254,-2.3183779743105903,710.1771833651416,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
