name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
METEOR M2,-31.484308435746343,164.372776812009,835.3347335513201,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-34.98181455371034,163.37081713050927,836.5226633638964,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-38.471669569892676,162.3023579993765,837.7384672774134,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-41.952583753475274,161.15134385647224,838.9651843128046,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-45.4229555521289,159.8970523499757,840.185519796317,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-48.88071206103689,158.51217944724,841.3821025250749,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-52.323080640213384,156.95993072566907,842.5377458296664,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-55.74622395397297,155.18948358750512,843.6357037321675,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-59.144642647727196,153.12868064165744,844.6599192601491,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-62.51015834998023,150.6718565684043,845.5952614009676,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-65.83010218338161,147.65881390297733,846.4277474485373,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-69.08392071829616,143.83722016223945,847.1447477912658,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-72.23646396869,138.79365153461214,847.735170504655,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-75.22403715684968,131.82865084036524,848.1896236960555,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-77.92482901529847,121.76275272063944,848.5005519819517,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-80.10239544627044,106.86319077479662,848.6623498031165,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-81.35284596701834,86.01224009009285,848.6714441498148,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-81.26866143655973,62.28322481760786,848.5263505366268,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-79.88294120328726,42.09316140513644,848.2276995523958,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-77.62497513674218,27.861517980707767,847.7782340061324,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-74.87994278930807,18.244723083706152,847.1827766616909,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-71.86692209240067,11.557541654075743,846.4481688792846,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-68.69847575767346,6.6880885525240386,845.5831808090021,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-65.43378937672107,2.9797902016102746,844.5983941138579,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-62.1057523155648,0.043468551686364605,843.5060577708045,2019, 6, 4, 21, 40, 1.7881393432617188e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-58.73373201796576,-2.3594880946376,842.3199231400362,2019, 6, 4, 21, 41, 1.430511474609375e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-55.32973410130728,-4.38127974425084,841.0550491192633,2019, 6, 4, 21, 42, 1.0728836059570312e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-51.901553122163534,-6.122729531574402,839.7275944147732,2019, 6, 4, 21, 43, 7.152557373046875e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-48.454457763433716,-7.652954221632865,838.3545887675849,2019, 6, 4, 21, 44, 3.5762786865234375e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-44.99214353539799,-9.020802493130413,836.9536904049755,2019, 6, 4, 21, 45, 0.0,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-41.517295121288804,-10.26174859260081,835.5429323328476,2019, 6, 4, 21, 45, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-38.031931446519174,-11.40219034371594,834.1404610598946,2019, 6, 4, 21, 46, 59.99999284744263,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-34.53762462718565,-12.46221326109719,832.764271582932,2019, 6, 4, 21, 47, 59.99998927116394,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-31.035642899974793,-13.457419256987775,831.4319426516491,2019, 6, 4, 21, 48, 59.999985694885254,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-27.52704615484898,-14.400168320293533,830.1603764590617,2019, 6, 4, 21, 49, 59.99998211860657,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-24.012748644931655,-15.300442810019526,828.9655461901721,2019, 6, 4, 21, 51, 1.8775463104248047e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-20.493573364883854,-16.16645984544785,827.8622603105005,2019, 6, 4, 21, 52, 1.519918441772461e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-16.970269254134106,-17.005122583142956,826.8639357676772,2019, 6, 4, 21, 53, 1.1622905731201172e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-13.443542583408528,-17.822351534922042,825.9824000525443,2019, 6, 4, 21, 54, 8.046627044677734e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-9.914070010281407,-18.62334052186382,825.2277135230656,2019, 6, 4, 21, 55, 4.470348358154297e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-6.382509390806966,-19.412757923805948,824.6080201304231,2019, 6, 4, 21, 56, 8.940696716308594e-07,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,-2.8495073984092376,-20.194911057043296,824.1294284717516,2019, 6, 4, 21, 56, 59.999997317790985,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,0.6842949895190884,-20.97388636696244,823.795925388012,2019, 6, 4, 21, 57, 59.9999937415123,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,4.218258288867343,-21.75367514338808,823.6093237295116,2019, 6, 4, 21, 58, 59.99999016523361,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,7.751740860772714,-22.538294046159717,823.5692452694333,2019, 6, 4, 21, 59, 59.999986588954926,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,11.284095137661286,-23.331905541556353,823.6731390749881,2019, 6, 4, 22, 0, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,14.814663029300194,-24.138949407392126,823.9163349656983,2019, 6, 4, 22, 1, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,18.342772101881973,-24.964292175373494,824.2921313120842,2019, 6, 4, 22, 3, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,21.86771741134277,-25.813403069305984,824.7919138037875,2019, 6, 4, 22, 4, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,25.38876328350926,-26.692578955521153,825.40530692086,2019, 6, 4, 22, 5, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,28.9051161111704,-27.60922710555155,826.1203502301425,2019, 6, 4, 22, 6, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,32.415901380488016,-28.572242491738145,826.9236998128248,2019, 6, 4, 22, 7, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,35.920127383480065,-29.592518354049755,827.8008498321382,2019, 6, 4, 22, 7, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,39.416632917333686,-30.683654293506645,828.7363705133083,2019, 6, 4, 22, 8, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,42.9040110629126,-31.862960941636292,829.7141584040999,2019, 6, 4, 22, 9, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,46.380496324484255,-33.152919240726455,830.7176946797007,2019, 6, 4, 22, 10, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,49.84379403050004,-34.58335346966359,831.7303072370155,2019, 6, 4, 22, 11, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
METEOR M2,53.29081580022225,-36.194755552679474,832.7354323853732,2019, 6, 4, 22, 12, 59.999980330467224,0,1,0,0,0,0,0,0,0,0,,
METEOR M2,56.71725896413502,-38.043524283077986,833.7168727194227,2019, 6, 4, 22, 14, 1.6987323760986328e-05,0,1,1,0,0,0,0,0,0,0,,
METEOR M2,60.116896866522254,-40.21048425785044,834.6590433968314,2019, 6, 4, 22, 15, 1.341104507446289e-05,0,1,1,0,0,0,0,0,0,0,,
METEOR M2,63.480383357428096,-42.815259982493586,835.5472130459752,2019, 6, 4, 22, 16, 9.834766387939453e-06,0,1,1,0,0,0,0,0,0,0,,
METEOR M2,66.79305559891804,-46.04137747460238,836.3677227600907,2019, 6, 4, 22, 17, 6.258487701416016e-06,1,1,1,0,0,0,0,0,0,0,,
METEOR M2,70.03076567457872,-50.18164402757711,837.1081901112626,2019, 6, 4, 22, 18, 2.682209014892578e-06,1,1,1,0,0,0,0,0,0,0,,
METEOR M2,73.15148734075119,-55.72169896754727,837.757691504491,2019, 6, 4, 22, 18, 59.99999910593033,1,1,1,0,0,1,0,0,0,0,,
METEOR M2,76.07764508630403,-63.4884022508269,838.3069212068365,2019, 6, 4, 22, 19, 59.99999552965164,1,1,1,0,0,1,0,0,0,0,,
METEOR M2,78.65897422113245,-74.85183333227715,838.748325076407,2019, 6, 4, 22, 20, 59.999991953372955,1,1,1,0,0,1,0,0,0,0,,
METEOR M2,80.60799011663187,-91.60887534057787,839.076207376304,2019, 6, 4, 22, 21, 59.99998837709427,1,1,1,0,0,1,0,0,0,0,,
METEOR M2,81.48006938469642,-114.01223901531058,839.2868094177172,2019, 6, 4, 22, 22, 59.99998480081558,1,0,1,0,0,1,0,0,0,0,,
