name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
MICRO LABSAT,-48.977690681041246,-98.81836370322193,805.3904400598439,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
MICRO LABSAT,-45.49147839644868,-100.20747222129516,804.1318300691222,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
MICRO LABSAT,-41.99248816910381,-101.4642085435085,802.8719242399736,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
MICRO LABSAT,-38.48284885589843,-102.61647181024198,801.6286331471285,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
MICRO LABSAT,-34.964203749731524,-103.68538238873424,800.4196992737579,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
MICRO LABSAT,-31.43787447557434,-104.68726904659071,799.2624282207363,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
MICRO LABSAT,-27.904961263319045,-105.63501264069421,798.1734201416983,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
MICRO LABSAT,-24.36641244221325,-106.53897465703588,797.1683109095853,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
MICRO LABSAT,-20.823072199269962,-107.40765455659063,796.2615265655779,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
MICRO LABSAT,-17.275713719944516,-108.24816600228299,795.4660553324798,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
MICRO LABSAT,-13.7250622983309,-109.06659000315723,794.7932412636455,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
MICRO LABSAT,-10.171811465959925,-109.86824457771627,794.2526032904003,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
