name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
MMS 1,1.1246540434222343,78.64997694923481,110373.74588532871,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.1204169660405394,78.42032676405088,110462.86497066746,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.116186170402008,78.19064431632175,110551.89530854792,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.111961642287817,77.96093001949104,110640.83690237506,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.107743359054504,77.7311838244803,110729.68993430828,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.103531300985471,77.50140583573058,110818.45452640615,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0993254484515962,77.27159615720461,110907.13080035403,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0951257819104216,77.04175489238268,110995.7188774718,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.090932281905865,76.81188214427263,111084.21887870952,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0867449290676954,76.58197801540982,111172.63092465253,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0825637041110294,76.35204277595425,111260.95513552058,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0783885878357329,76.12207619130747,111349.191631172,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0742195611261027,75.8920785307021,111437.34053110381,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0700566021608584,75.6620497405512,111525.40201347222,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0658996975744468,75.43199022955943,111613.37607895737,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.061748825707869,75.20189994324943,111701.2629050595,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0576039677779518,74.97177898092217,111789.06260984621,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0534651050836334,74.74162744143288,111876.77531102957,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0493322190052325,74.51144542318363,111964.40112597114,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.045205291004167,74.28123302413663,112051.94017168068,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0410843026224528,74.05099034180716,112139.39256481921,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0369692354821944,73.82071747326954,112226.75842169955,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0328600712851737,73.59041451516947,112314.0378582882,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0287567918124094,73.36008156370502,112401.2309902074,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0246593761781047,73.12971856017164,112488.33799111603,2019, 6, 4, 21, 40, 1.7881393432617188e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0205678118153767,72.89932590884915,112575.35885913126,2019, 6, 4, 21, 41, 1.430511474609375e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.016482077990782,72.6689037182941,112662.29376728654,2019, 6, 4, 21, 42, 1.0728836059570312e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0124021567977095,72.43845174680042,112749.14282983933,2019, 6, 4, 21, 43, 7.152557373046875e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0083280304066615,72.20797025653152,112835.90616070693,2019, 6, 4, 21, 44, 3.5762786865234375e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0042596810646103,71.97745934113883,112922.5838734731,2019, 6, 4, 21, 45, 0.0,0,0,0,0,0,0,0,0,0,0,,
MMS 1,1.0001970910947546,71.7469190938507,113009.17608138385,2019, 6, 4, 21, 45, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9961402428959952,71.51634960748423,113095.68289735353,2019, 6, 4, 21, 46, 59.99999284744263,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9920891189425644,71.28575097444586,113182.10443396267,2019, 6, 4, 21, 47, 59.99998927116394,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9880437017835185,71.05512328672373,113268.44080346232,2019, 6, 4, 21, 48, 59.999985694885254,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9840039740423759,70.82446663590919,113354.69211777396,2019, 6, 4, 21, 49, 59.99998211860657,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.979969915713639,70.59378095848038,113440.85854623954,2019, 6, 4, 21, 51, 1.8775463104248047e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9759415149785892,70.36306665459149,113526.9400845679,2019, 6, 4, 21, 52, 1.519918441772461e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9719187519747485,70.13232365994293,113612.93690150659,2019, 6, 4, 21, 53, 1.1622905731201172e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9679016096193794,69.90155206450964,113698.84910767211,2019, 6, 4, 21, 54, 8.046627044677734e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9638900709021823,69.67075195788021,113784.67681335798,2019, 6, 4, 21, 55, 4.470348358154297e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9598841188848475,69.43992342923664,113870.42012853634,2019, 6, 4, 21, 56, 8.940696716308594e-07,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9558837367007731,69.20906656737823,113956.07916285784,2019, 6, 4, 21, 56, 59.999997317790985,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9518889075544118,68.97818146071438,114041.6540256568,2019, 6, 4, 21, 57, 59.9999937415123,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9478996147211739,68.74726836536017,114127.14482594791,2019, 6, 4, 21, 58, 59.99999016523361,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9439158415469321,68.51632703275816,114212.55167242912,2019, 6, 4, 21, 59, 59.999986588954926,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9399375714474678,68.28535771826158,114297.87467348635,2019, 6, 4, 22, 0, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9359647879083638,68.05436050873784,114383.1139371882,2019, 6, 4, 22, 1, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9319974718259709,67.82333533576157,114468.26962836667,2019, 6, 4, 22, 3, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9280356121445796,67.59228259527632,114553.34174026508,2019, 6, 4, 22, 4, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9240791898943247,67.36120221812773,114638.33043714968,2019, 6, 4, 22, 5, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9201281888356531,67.13009428968162,114723.23582584727,2019, 6, 4, 22, 6, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9161825927966653,66.89895889494387,114808.05801287989,2019, 6, 4, 22, 7, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9122423856730486,66.66779611855165,114892.79710445997,2019, 6, 4, 22, 7, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.908307551427395,66.43660604476969,114977.45320649784,2019, 6, 4, 22, 8, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9043780740890328,66.20538875750796,115062.02642459827,2019, 6, 4, 22, 9, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.9004539377536275,65.97414434030827,115146.51686406399,2019, 6, 4, 22, 10, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.8965351265827555,65.74287287635877,115230.92462989697,2019, 6, 4, 22, 11, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.8926216248036406,65.51157444848428,115315.2498267973,2019, 6, 4, 22, 12, 59.999980330467224,0,1,0,0,0,0,0,0,0,0,,
MMS 1,0.8887134140898094,65.28024898403397,115399.49261562993,2019, 6, 4, 22, 14, 1.6987323760986328e-05,0,1,1,0,0,0,0,0,0,0,,
MMS 1,0.8848104840438875,65.04889704343769,115483.65298743585,2019, 6, 4, 22, 15, 1.341104507446289e-05,0,1,1,0,0,0,0,0,0,0,,
MMS 1,0.880912816457443,64.81751821719794,115567.73110270858,2019, 6, 4, 22, 16, 9.834766387939453e-06,0,1,1,0,0,0,0,0,0,0,,
MMS 1,0.8770203958204869,64.58611275481341,115651.72706487666,2019, 6, 4, 22, 17, 6.258487701416016e-06,1,1,1,0,0,0,0,0,0,0,,
MMS 1,0.8731332066829047,64.35468073735375,115735.64097715901,2019, 6, 4, 22, 18, 2.682209014892578e-06,1,1,1,0,0,0,0,0,0,0,,
MMS 1,0.8692512336581388,64.12322224554295,115819.47294248044,2019, 6, 4, 22, 18, 59.99999910593033,1,1,1,0,0,1,0,0,0,0,,
MMS 1,0.8653744614227693,63.89173735976365,115903.22306347475,2019, 6, 4, 22, 19, 59.99999552965164,1,1,1,0,0,1,0,0,0,0,,
MMS 1,0.8615028747162398,63.660226160057356,115986.89144248438,2019, 6, 4, 22, 20, 59.999991953372955,1,1,1,0,0,1,0,0,0,0,,
MMS 1,0.8576364583404819,63.42868872612142,116070.47818156182,2019, 6, 4, 22, 21, 59.99998837709427,1,1,1,0,0,1,0,0,0,0,,
MMS 1,0.8537751971594583,63.197125137321024,116153.98338247313,2019, 6, 4, 22, 22, 59.99998480081558,1,0,1,0,0,1,0,0,0,0,,
MMS 1,0.8499190760991094,62.96553547267956,116237.40714669472,2019, 6, 4, 22, 23, 59.999981224536896,1,0,1,0,0,1,0,0,0,0,,
MMS 1,0.846068077566244,62.733919655572336,116320.7496312758,2019, 6, 4, 22, 25, 1.7881393432617188e-05,1,0,1,0,0,1,0,0,0,0,,
MMS 1,0.842222191773938,62.502278074977916,116404.01082535212,2019, 6, 4, 22, 26, 1.430511474609375e-05,1,0,0,0,0,1,0,0,0,0,,
MMS 1,0.8383814012476012,62.270610653626136,116487.19088545785,2019, 6, 4, 22, 27, 1.0728836059570312e-05,1,0,0,0,0,1,0,0,0,0,,
MMS 1,0.8345456911570872,62.03891746921647,116570.28991193254,2019, 6, 4, 22, 28, 7.152557373046875e-06,0,0,0,0,0,1,0,0,0,0,,
MMS 1,0.8307150467324578,61.807198599122906,116653.308004835,2019, 6, 4, 22, 29, 3.5762786865234375e-06,0,0,0,0,0,1,0,0,0,0,,
MMS 1,0.8268894532637098,61.57545412039384,116736.24526394047,2019, 6, 4, 22, 30, 0.0,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.8230688961003424,61.343684109753525,116819.1017887472,2019, 6, 4, 22, 30, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.8192533606510803,61.11188881170468,116901.87767847457,2019, 6, 4, 22, 31, 59.99999284744263,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.8154428323836053,60.88006796613859,116984.5730320639,2019, 6, 4, 22, 32, 59.99998927116394,0,0,0,0,0,0,1,1,0,0,,
MMS 1,0.8116372968242155,60.64822181691637,117067.18794818093,2019, 6, 4, 22, 33, 59.999985694885254,0,0,0,0,0,0,1,1,0,0,,
MMS 1,0.8078367395575369,60.416350439490245,117149.72252521511,2019, 6, 4, 22, 34, 59.99998211860657,0,0,0,0,0,0,1,1,0,0,,
MMS 1,0.8040411436826556,60.18445375348663,117232.17691654689,2019, 6, 4, 22, 36, 1.8775463104248047e-05,0,0,0,0,0,0,1,1,0,0,,
MMS 1,0.8002504999901365,59.95253214472859,117314.5511094387,2019, 6, 4, 22, 37, 1.519918441772461e-05,0,0,0,0,0,0,1,1,0,0,,
MMS 1,0.796464791690885,59.720585532234935,117396.8452567788,2019, 6, 4, 22, 38, 1.1622905731201172e-05,0,0,0,1,0,0,1,1,0,0,,
MMS 1,0.7926840045996543,59.488613990210894,117479.05945586732,2019, 6, 4, 22, 39, 8.046627044677734e-06,0,0,0,1,0,0,1,1,0,0,,
MMS 1,0.7889081245879954,59.25661759254864,117561.19380373441,2019, 6, 4, 22, 40, 4.470348358154297e-06,0,0,0,1,0,0,1,1,0,0,,
MMS 1,0.7851371375840085,59.02459641283961,117643.24839714132,2019, 6, 4, 22, 41, 8.940696716308594e-07,0,0,0,1,0,0,1,1,0,0,,
MMS 1,0.7813710295718996,58.792550524365595,117725.2233325822,2019, 6, 4, 22, 41, 59.999997317790985,0,0,0,1,0,0,1,1,0,0,,
MMS 1,0.7776097865918535,58.560480000109806,117807.11870628377,2019, 6, 4, 22, 42, 59.9999937415123,0,0,0,1,0,0,1,1,0,0,,
MMS 1,0.7738533947396491,58.32838491275264,117888.93461420633,2019, 6, 4, 22, 43, 59.99999016523361,0,0,0,1,0,0,1,1,0,0,,
MMS 1,0.7701018401663636,58.096265334678336,117970.6711520467,2019, 6, 4, 22, 44, 59.999986588954926,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7663551090781259,57.86412133796508,118052.32841523763,2019, 6, 4, 22, 45, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.762613187735796,57.631952994402624,118133.90649894896,2019, 6, 4, 22, 46, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7588760599503959,57.399760219778116,118215.40555271161,2019, 6, 4, 22, 48, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7551437171033052,57.16754356478584,118296.82556187439,2019, 6, 4, 22, 49, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7514161431104215,56.935302608446136,118378.16667550064,2019, 6, 4, 22, 50, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7476933244487356,56.70303758947495,118459.42898772015,2019, 6, 4, 22, 51, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7439752476486984,56.47074857820429,118540.61259240287,2019, 6, 4, 22, 52, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7402618992936997,56.23843564467615,118621.71758316508,2019, 6, 4, 22, 52, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7365532660200247,56.00609885864729,118702.74405336425,2019, 6, 4, 22, 53, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7328493345164364,55.77373828959293,118783.69209610482,2019, 6, 4, 22, 54, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.729150091523968,55.54135400670483,118864.56180423654,2019, 6, 4, 22, 55, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7254555238356399,55.308946078895694,118945.35327035672,2019, 6, 4, 22, 56, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7217656182961093,55.0765145747963,119026.0665868119,2019, 6, 4, 22, 57, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7180803593320582,54.84405940687919,119106.70189973831,2019, 6, 4, 22, 59, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7143997388330942,54.61158095496683,119187.25919284142,2019, 6, 4, 23, 0, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7107237413248333,54.37907913100183,119267.73861181196,2019, 6, 4, 23, 1, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7070523538561837,54.14655400251157,119348.14024799815,2019, 6, 4, 23, 2, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
MMS 1,0.7033855635265681,53.914005636752634,119428.46419249882,2019, 6, 4, 23, 3, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
