name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
O3B FM15,-0.02442438544749493,129.8188827886073,8064.609322524488,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.023510880589503264,130.81884914217233,8064.520046193958,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.0225861516939832,131.81883161339334,8064.430699802619,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.02165064012961142,132.81882887037148,8064.3413260122625,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.020704790583770408,133.81884158548297,8064.251967319576,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.019749053324290274,134.8188697532332,8064.162666275512,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.01878388336924458,135.81891336079119,8064.073465405143,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.017809740270778498,136.81897238798996,8063.984407187398,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.016827087896739465,137.81904680734053,8063.8955340348375,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.015836394210131256,138.8191365840426,8063.806888273422,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.014838131046599413,139.81924184408865,8063.718512122372,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.01383277388996413,140.8193622019034,8063.630447674023,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.012820801645948456,141.81949776894837,8063.542736873805,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.011802695729584966,142.81964915200913,8063.45542144173,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.010778942570580383,143.81981493870396,8063.368543086568,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
O3B FM15,-0.009750029285628152,144.81999572143684,8063.282143134547,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
