name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
OBJECT AA,-40.95824484482759,128.090431393612,474.4306848680778,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-43.2108740674575,132.00690467793075,475.32646660992214,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-45.29962561084002,136.22861777962848,476.14360009809155,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-47.199745564729426,140.77407222651715,476.8696430265837,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-48.88445887978964,145.65257242951628,477.4933708019507,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-50.32581979888088,150.8598036384917,478.00496081556213,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-51.49610100000657,156.37341700223845,478.39615643161414,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-52.36970825678139,162.14974556027133,478.66040483287424,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-52.9254521730184,168.12310085703956,478.79296726430374,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-53.14881177490062,174.2088739588605,478.79100006500744,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-53.03369200479242,-179.68930097930053,478.6536053104249,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-52.58321181953745,-173.66952549278767,478.3818503214198,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-51.80929571190188,-167.82117143844076,477.97875573369043,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-50.73118716388505,-162.21658611126534,477.4492518627107,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-49.37329575605296,-156.90665414848826,476.8001062327852,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-47.76287545909018,-151.92035013847078,476.0398177325339,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-45.92796919132624,-147.26736464166353,475.1784859642817,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT AA,-43.89584267850073,-142.94229763675577,474.22765253802044,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
