name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
OBJECT PN,36.377050196040834,-119.33132146649044,394.5269043278276,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,38.81428972600796,-115.73912359331568,395.0020009673248,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,41.115656329508184,-111.88415626965944,395.48132579055556,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,43.259774136257,-107.74321894962775,395.95273102543655,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,45.22294387527726,-103.29759704734872,396.4046934923517,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,46.97945945279808,-98.53627470841766,396.82653706931285,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,48.50231004752525,-93.45977900605726,397.20863810456234,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,49.76434926379474,-88.08419558128168,397.5426083011999,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,50.73995438703101,-82.44447105238537,397.8214523053596,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,51.40706701466527,-76.5958000735611,398.0396973887155,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,51.74933737471336,-70.61193541025759,398.1934931187853,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,51.75795350786121,-64.57989064545406,398.2806794274645,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,51.43271407998324,-58.59165042681515,398.3008220148876,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,50.78205387452508,-52.734674324592234,398.25521450546285,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,49.82201761614381,-47.083516388113146,398.1468476299165,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,48.574454157908406,-41.69433408441771,397.9803453949414,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,47.06487792115473,-36.60304428571784,397.7618699247682,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,45.32041488984115,-31.826581614808646,397.49899620611734,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,43.368121147216925,-27.366137411418382,397.2005589315608,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,41.23378989823916,-23.211164490375022,396.8764740258379,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,38.94123035423238,-19.343246114830013,396.5375379212389,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,36.511929457469,-15.739335395339262,396.1952080905645,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,33.96498657406864,-12.374203649246523,395.86136874811984,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,31.317221323275373,-9.22213937241351,395.54808598039193,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,28.58337543885681,-6.258029191635834,395.2673566815531,2019, 6, 4, 21, 40, 1.7881393432617188e-05,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,25.776366294527335,-3.4579859118117318,395.03085713949105,2019, 6, 4, 21, 41, 1.430511474609375e-05,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,22.907530752474077,-0.799631566468333,394.84969338375276,2019, 6, 4, 21, 42, 1.0728836059570312e-05,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,19.986876858772295,1.7378149569334882,394.7341620181678,2019, 6, 4, 21, 43, 7.152557373046875e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,17.02330657815849,4.173598617257547,394.6935234793473,2019, 6, 4, 21, 44, 3.5762786865234375e-06,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,14.024817174666142,6.525566671798669,394.7357935744121,2019, 6, 4, 21, 45, 0.0,0,0,0,0,0,0,0,0,0,0,,
OBJECT PN,10.998679745889744,8.81035322534424,394.8675574712233,2019, 6, 4, 21, 45, 59.99999642372131,0,0,0,0,0,0,0,0,0,0,,
