name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
ONEWEB-0012,-34.29917536709146,19.26743471049892,1216.878233223637,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-37.58329967948587,19.199552006885046,1218.296851754599,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-40.864651586835876,19.14841627972579,1219.7272119228746,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-44.14312567336955,19.11794607275664,1221.154413017502,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-47.418631540790805,19.11321812707098,1222.5634286952209,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-50.691076152128524,19.14095147680031,1223.9392881598812,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-53.960352023333506,19.210252362793664,1225.2672606453862,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-57.22631474856448,19.333801070238668,1226.5330351416726,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-60.488745836330125,19.529820100754943,1227.7228941284595,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-63.74728847647642,19.825497012987473,1228.8238792610823,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-67.00132991548736,20.263289397969437,1229.8239471068778,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-70.24976970384289,20.9133923199496,1230.7121131973877,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-73.49051846417184,21.900722525697464,1231.47858283765,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-76.71927488372418,23.470667349096086,1232.1148676770706,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-79.92597103829821,26.17771446466242,1232.613884467446,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-83.08158376141337,31.57312836828561,1232.970041188977,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-86.06352997638675,45.838049843821814,1233.1793011688037,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-87.909628215376,101.44588411615173,1233.2392311928704,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-86.19438770933529,160.07357785373404,1233.1490304124889,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-83.22958271193835,175.18337733220898,1232.909540241372,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-80.07790912036415,-179.21013272309438,1232.5232351473755,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-76.872619068463,-176.42367117354655,1231.9941944214495,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-73.64447457027183,-174.8159206449987,1231.3280551869004,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-70.40400151279414,-173.80777090826803,1230.5319470919055,2019, 6, 4, 21, 38, 59.999981224536896,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-67.1556646431864,-173.14502143291318,1229.6144086571346,2019, 6, 4, 21, 40, 1.7881393432617188e-05,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-63.90162695372871,-172.69898861721347,1228.5852899399238,2019, 6, 4, 21, 41, 1.430511474609375e-05,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-60.64301995067243,-172.3976514193872,1227.4556330668875,2019, 6, 4, 21, 42, 1.0728836059570312e-05,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-57.3804738310998,-172.1975830297354,1226.2375441504114,2019, 6, 4, 21, 43, 7.152557373046875e-06,0,0,0,0,0,0,0,0,0,0,,
ONEWEB-0012,-54.11435519518118,-172.07104225426977,1224.9440489061838,2019, 6, 4, 21, 44, 3.5762786865234375e-06,0,0,0,0,0,0,0,0,0,0,,
