name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
RAINCUBE,-51.51717149704249,118.31133393884765,406.45549776432483,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-50.92891833274832,124.18021534896555,406.1670861393037,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-50.02956658732787,129.85791881838398,405.7343145519721,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-48.83971434600383,135.2851021132008,405.162977404736,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-47.38398297574661,140.42229579781926,404.46077171437474,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-45.68896115605225,145.24918074009787,403.6371753936822,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-43.78146756203739,149.76170405989475,402.7032951307012,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-41.68728074528923,153.96821694164265,401.67168766154145,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-39.43034148850761,157.8855950955737,400.5561568920888,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-37.03235092216413,161.53590416875332,399.3715300045261,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-34.51265846156022,164.94382647863534,398.13341609935077,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-31.888338641106902,168.13483994264658,396.85795130384145,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-29.174376382045434,171.13403408578074,395.56153461391153,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-26.383901766242218,173.96541236063916,394.2605581436439,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-23.528448897626024,176.65153283091203,392.97114176978164,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-20.61818915717408,179.21340148202216,391.70886393909325,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
RAINCUBE,-17.66216527963556,-178.32950359851463,390.4885110407323,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
