name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
TECHEDSAT 8,-6.310078116867156,-158.13992991618946,392.83189648282627,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,-3.2410442420629026,-155.95572100332322,392.0484358361456,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,-0.16537147178887002,-153.78564341292872,391.3637016640071,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,2.911181637278219,-151.61585864931465,390.7817285353002,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,5.98285938678809,-149.43252210194814,390.30461602208464,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,9.043790987575743,-147.22157279410519,389.9325298387347,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,12.087879187215936,-144.96851446199452,389.66373788137037,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,15.108679340007345,-142.65819643188743,389.4946831574794,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,18.099267170806524,-140.27459426449158,389.4200914250818,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,21.052091438882922,-137.80059455750293,389.4331111156853,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,23.958807905251202,-135.21779288660542,389.5254824454429,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,26.810091588482763,-132.50632235152017,389.68773203452963,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
TECHEDSAT 8,29.59542558647444,-129.64473751607238,389.9093888698065,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
