name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
TEMPEST-D,50.44993326699852,-83.9525965453889,395.365446616209,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,51.221753797452,-78.16158501806845,395.5757863092107,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,51.67294290029057,-72.20894281119871,395.73277422266216,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,51.79200577398959,-66.17829854902816,395.8337649252911,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,51.57583861861718,-60.16123824682848,395.8777894575578,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,51.03011587346164,-54.247942016702225,395.86556798483446,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,50.16858803353022,-48.51814590294487,395.79948975346906,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,49.011482511284285,-43.03455150002024,395.683560007562,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,47.58341518407629,-37.839777775819776,395.5233148938001,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,45.911260650708385,-32.956711937658085,395.32570579086524,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,44.022321642553116,-28.39125451735517,395.0989550231321,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,41.94296843904371,-24.13620847081623,394.8523854257087,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,39.697768655330236,-20.175279423440884,394.59622671397375,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,37.30903335206611,-16.486561287758732,394.34140189970054,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,34.79668116082988,-13.045262382572583,394.0992986009704,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,32.178290386598086,-9.825626300071855,393.881526869487,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,29.46928567631063,-6.802210893452435,393.6996714896276,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,26.683174256150522,-3.95064104474249,393.5650408925128,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,23.83180149577133,-1.247996051459429,393.4884186128486,2019, 6, 4, 21, 33, 59.99999910593033,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,20.92560085935493,1.3270517896783318,393.4798220611127,2019, 6, 4, 21, 34, 59.99999552965164,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,17.973826094397758,3.7942582868605985,393.54827350903406,2019, 6, 4, 21, 35, 59.999991953372955,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,14.98476070953287,6.171925532516887,393.70158802833794,2019, 6, 4, 21, 36, 59.99998837709427,0,0,0,0,0,0,0,0,0,0,,
TEMPEST-D,11.965904116783856,8.477075340664625,393.9461828531016,2019, 6, 4, 21, 37, 59.99998480081558,0,0,0,0,0,0,0,0,0,0,,
