name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
XMM,-51.60331079093191,-33.413589838641,61777.03085175092,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
XMM,-51.6690581843818,-33.59860657384581,61887.2751301061,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
XMM,-51.73455723273118,-33.78364510289399,61997.33556221148,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
XMM,-51.79980938247584,-33.96870474802271,62107.21239313918,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
XMM,-51.864816197902215,-34.15378520698156,62216.906087839416,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
XMM,-51.92957918540364,-34.33888605669425,62326.417035820275,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
XMM,-51.99409983764297,-34.52400687729118,62435.74562501528,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
XMM,-52.05837963371048,-34.709147252082865,62544.892241789275,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
XMM,-52.12242003927985,-34.89430676751586,62653.8572709458,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
XMM,-52.18622250676111,-35.079485013142744,62762.64109573135,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
XMM,-52.24978847545189,-35.264681413494024,62871.24409784224,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
XMM,-52.31311937168656,-35.44989590043106,62979.66665743028,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
XMM,-52.376216608983675,-35.63512790452592,63087.909153109715,2019, 6, 4, 21, 27, 59.999980330467224,0,0,0,0,0,0,0,0,0,0,,
XMM,-52.439081630267474,-35.82037715165078,63195.97203436361,2019, 6, 4, 21, 29, 1.6987323760986328e-05,0,0,0,0,0,0,0,0,0,0,,
XMM,-52.50171573954939,-36.005642997956755,63303.855531823836,2019, 6, 4, 21, 30, 1.341104507446289e-05,0,0,0,0,0,0,0,0,0,0,,
XMM,-52.564120354994344,-36.19092517515415,63411.56009204798,2019, 6, 4, 21, 31, 9.834766387939453e-06,0,0,0,0,0,0,0,0,0,0,,
XMM,-52.62629684028701,-36.37622329362532,63519.08608755724,2019, 6, 4, 21, 32, 6.258487701416016e-06,0,0,0,0,0,0,0,0,0,0,,
XMM,-52.6882465470022,-36.561536966596734,63626.43388936523,2019, 6, 4, 21, 33, 2.682209014892578e-06,0,0,0,0,0,0,0,0,0,0,,
