name,latitude,longitude,elevation,year,month,day,hour,minute,second,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,
YAOGAN 27,-20.224759098717296,174.73410321056883,1214.117757744046,2019, 6, 4, 21, 15, 59.99998301267624,0,0,0,0,0,0,0,0,0,0,,
YAOGAN 27,-23.457395023460528,173.80438950646644,1215.18973947337,2019, 6, 4, 21, 16, 59.99997943639755,0,0,0,0,0,0,0,0,0,0,,
YAOGAN 27,-26.68510598675945,172.84095479063998,1216.3099622658667,2019, 6, 4, 21, 18, 1.609325408935547e-05,0,0,0,0,0,0,0,0,0,0,,
YAOGAN 27,-29.907088301299837,171.8363947739666,1217.466841052263,2019, 6, 4, 21, 19, 1.2516975402832031e-05,0,0,0,0,0,0,0,0,0,0,,
YAOGAN 27,-33.122439394204385,170.7819049256864,1218.6480142590335,2019, 6, 4, 21, 20, 8.940696716308594e-06,0,0,0,0,0,0,0,0,0,0,,
YAOGAN 27,-36.33010986073109,169.6668492790861,1219.8404974341183,2019, 6, 4, 21, 21, 5.364418029785156e-06,0,0,0,0,0,0,0,0,0,0,,
YAOGAN 27,-39.528851340821696,168.4781740029629,1221.0308489134206,2019, 6, 4, 21, 22, 1.7881393432617188e-06,0,0,0,0,0,0,0,0,0,0,,
YAOGAN 27,-42.71714047971735,167.1996017993145,1222.2053407700132,2019, 6, 4, 21, 22, 59.99999821186066,0,0,0,0,0,0,0,0,0,0,,
YAOGAN 27,-45.893070736042525,165.81050344667003,1223.3501334472646,2019, 6, 4, 21, 23, 59.99999463558197,0,0,0,0,0,0,0,0,0,0,,
YAOGAN 27,-49.0541956065655,164.28428666440288,1224.451451747719,2019, 6, 4, 21, 24, 59.999991059303284,0,0,0,0,0,0,0,0,0,0,,
YAOGAN 27,-52.19729665336374,162.58604957221928,1225.4957598900278,2019, 6, 4, 21, 25, 59.9999874830246,0,0,0,0,0,0,0,0,0,0,,
YAOGAN 27,-55.318032054490324,160.6690896116193,1226.4699334168527,2019, 6, 4, 21, 26, 59.99998390674591,0,0,0,0,0,0,0,0,0,0,,
